機構代碼,機構名稱,電話,縣市區名,地址,科別,1語言治療師,2牙體技術師,3聽力師,4牙體技術士,5驗光師,6驗光生,A醫師,B中醫師,C牙醫師,D藥師,E藥劑生,F護理師,G護士,H助產士,I助產師,J醫事檢驗師,K醫事檢驗生,Q物理治療師,R職能治療師,S醫事放射師,T醫事放射士,U物理治療生,W職能治療生,V呼吸治療師,X諮商心理師,Y臨床心理師,Z營養師
3701014247,大衛牙醫診所,27660709,臺北市松山區,臺北市松山區富錦街527號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2701010024,交通部民用航空局航空醫務中心,225456700,臺北市松山區,臺北市松山區敦化北路405巷123弄10號,"西醫一般科,",0,0,0,0,0,0,5,0,0,1,0,11,0,0,0,3,0,0,0,1,0,0,0,0,0,3,1
3801012567,漢浤堂健康中醫診所,25185775,臺北市松山區,臺北市松山區民生東路四段128號,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701010061,政雄牙醫診所,227647144,臺北市松山區,臺北市松山區民生東路五段２４３號,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3801012692,春日和中醫診所,27790189,臺北市松山區,臺北市松山區復興北路81巷35號1樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701014238,嘉一牙醫診所,02-27665636,臺北市松山區,臺北市松山區新東街11巷3號1樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701014327,松新牙醫診所,02-27662256,臺北市松山區,臺北市松山區八德路4段687號2樓及689號2樓,"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3701014309,鉑金牙醫診所,25779550,臺北市松山區,臺北市松山區八德路3段164號1樓、164之1號(1樓),"牙醫一般科,",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501015357,髮立現診所,02-27195353,臺北市松山區,臺北市松山區民生東路3段113巷6弄3號1樓,"外科,",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501015348,恆美學診所,25776622,臺北市松山區,臺北市松山區南京東路4段56號2樓,"西醫一般科,",0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3801012709,爾雅中醫診所,,臺北市松山區,臺北市松山區慶城街24號5樓,"中醫一般科,",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501015302,瑞麗嘉健康美學慶中診所,25450522,臺北市松山區,臺北市松山區南京東路3段259號5樓,"婦產科,",0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501015491,蘭瑞診所,25791898,臺北市松山區,臺北市松山區敦化南路1段25號3樓,"內科,",0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3501015339,麥茵茲美形診所,27160377,臺北市松山區,臺北市松山區南京東路5段71號2樓之3、2樓之4及3樓之5,"西醫一般科,",0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3801012727,欣百漢中醫診所,27631523,臺北市松山區,臺北市松山區南京東路5段80號1、2、3樓,"中醫一般科,",0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
